
🆚中视,#genre#
中天新闻,http://2023.stream-link.org/playlist/cti_news
台视,http://23.237.10.66:16344
HBO,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8#http://208.115.225.174:14136#http://208.115.225.174:14165#https://pull-l3-cny.douyincdn.com/live/b2478a833f3e8b439b680048fcbf7786.m3u8
邵氏动作武侠,http://epg.112114.xyz/bili/1968287
古装剧场,http://hls-ott-zhibo.wasu.tv/live/442/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225678/index.m3u8?blog.ntnas.top#http://39.134.115.163:8080/PLTV/88888910/224/3221225678/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225678/index.m3u8
龙腾功夫,https://cn-sdqd-cu-01-16.bilivideo.com/live-bvc/674468/live_486601411_82470315/index.m3u8
古装剧,http://39.135.138.60:18890/PLTV/88888910/224/3221225678/index.m3u8
热播精选,http://39.135.138.58:18890/PLTV/88888888/224/3221225712/index.m3u8
龙鑫网络电影台,http://106.115.24.62:9901/tsfile/live/1029_1.m3u8
CHC动作电影,http://39.134.18.66/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8#http://39.134.19.252:6610/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://111.20.33.93/PLTV/88888893/224/3221226465/index.m3u8#http://111.20.33.70/PLTV/88888893/224/3221226465/index.m3u8#http://111.20.33.79/wh7f454c46tw2676886234_1042025358/PLTV/88888893/224/3221226465/index.m3u8#http://111.20.33.93/TVOD/88888893/224/3221226465/index.m3u8#http://111.20.33.93/TVOD/88888893/224/3221226465/index.m3u8?#http://111.20.33.93/wh7f454c46tw66682855_961085433/PLTV/88888893/224/3221226465/index.m3u8#http://111.20.35.103:6610/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=#http://125.40.191.58:9901/tsfile/live/1002_1.m3u8?blog.ntnas.top#http://223.151.51.27:85/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240324_1/playlist.m3u8?CONTENTID=00000110240324_1#http://yfsl.vsd.gehua.net.cn/live/Motion_2000.m3u8#http://117.148.179.154/PLTV/88888888/224/3221231580/index.m3u8?zyangd#http://117.148.179.154/PLTV/88888888/224/3221232945/index.m3u8?zyangd
邵氏影院,http://wtv.weetai.cn/iptv/2022/tyzb09.php?id=4246519#http://maomao.kandiantv.cn/douyu1.php?id=4246519
CHC高清电影,http://39.134.18.68/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8#http://live.rxip.sc96655.com/live/lnwsCHC-HDH265_4000.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8#http://39.134.19.252:6610/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://y3y4.f3322.net:9901/hls/9/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226463/index.m3u8#http://111.20.33.93/TVOD/88888893/224/3221226463/index.m3u8#http://111.20.33.93/TVOD/88888893/224/3221226463/index.m3u8?#http://111.20.35.103:6610/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=#http://yfsl.vsd.gehua.net.cn/live/CHCHD_1200.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240325_1/playlist.m3u8?CONTENTID=00000110240325_1#http://222.132.191.125:9901/tsfile/live/1010_1.m3u8
HD动作电影,http://39.134.66.2/PLTV/88888888/224/3221225555/index.m3u8#http://111.40.196.31/PLTV/88888888/224/3221225620/index.m3u8#http://111.40.196.37/PLTV/88888888/224/3221225620/index.m3u8
HDCCTV-6电影,http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225650/index.m3u8
HD黑莓电影,http://39.134.65.179/PLTV/88888888/224/3221225681/index.m3u8#http://39.134.65.164/PLTV/88888888/224/3221225681/index.m3u8#http://39.134.65.175/PLTV/88888888/224/3221225681/index.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225681/index.m3u8
HD明星大片,http://39.134.66.66/PLTV/88888888/224/3221225550/index.m3u8
HDCCTV电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226011/index.m3u8
HD粤语电影,http://txtest-xp2p.p2p.huya.com/src/1250011-1250011-5368756364640256-2777036638-10057-A-0-1.xs
HD电影_动作电影,https://txtest-xp2p.p2p.huya.com/src/1524439840-1524439840-6547419257519472640-3049003136-10057-A-0-1.xs
HD电影_古装片,https://txtest-xp2p.p2p.huya.com/src/1448737814-1448737814-6222281531608530944-2777037662-10057-A-0-1.xs
HD电影_战争片,https://txtest-xp2p.p2p.huya.com/src/1099531752768-1099531752768-86436182472261632-2199063628992-10057-A-0-1.xs
HD电影_功夫片,https://txtest-xp2p.p2p.huya.com/src/1448738174-1448738174-6222283077796757504-2847699112-10057-A-0-1.xs
HD电影_港片,https://txtest-xp2p.p2p.huya.com/src/1524434085-1524434085-6547394539982684160-3048991626-10057-A-0-1.xs
HD电影_国产,https://txtest-xp2p.p2p.huya.com/src/1423787882-1423787882-6115122389631107072-2847699220-10057-A-0-1.xs
HD电影_战争,https://txtest-xp2p.p2p.huya.com/src/1099531752783-1099531752783-86436246896771072-2199063629022-10057-A-0-1.xs
HD电影_枪战,https://txtest-xp2p.p2p.huya.com/src/1099531752772-1099531752772-86436199652130816-2199063629000-10057-A-0-1.xs
HD电影_武侠,https://txtest-xp2p.p2p.huya.com/src/1394575551-1394575551-5989656383346180096-2789274558-10057-A-0-1.xs
4K蓝光电影2台,http://39.134.66.66/PLTV/88888888/224/3221225521/index.m3u8
HD电影台,http://111.40.196.30/0000000000001000/1.m3u8?Contentid=6000000003000004748&livemode=1&stbId=1213&channel-id=wasusyt
凤凰香港.备用,http://jylt.jdshipin.com:808/hls/81/index.m3u8#http://jydx.jdshipin.com:808/hls/38/index.m3u8
凤凰中文.备用,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227222/index.m3u8?servicetype=3
凤凰资讯.备用,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227226/index.m3u8?servicetype=3
CNC.720,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225693/index.m3u8
CNC中文.720,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225694/index.m3u8
Boo驚悚台,https://pull-l3-cny.douyincdn.com/live/6ea2b038f2ce633a65f0450895f6679e.m3u8
AnimeTV,https://stmv1.srvif.com/animetv/animetv/playlist.m3u8
BS12,http://redlabmcdn.s.llnwi.net/nv02/bs08hd/index.m3u8
Fuji,http://redlabmcdn.s.llnwi.net/nv02/ryowa7hd/index.m3u8
Tokyo MX 1,http://redlabmcdn.s.llnwi.net/nv02/ryowa8hd/index.m3u8#https://movie.mcas.jp/mcas/mx1_2/chunklist.m3u8#http://redlabmcdn.s.llnwi.net/nv02/ryowa8hd/playlist.m3u8
Tokyo MX 2,https://movie.mcas.jp/mcas/mx2_2/chunklist.m3u8
MX Live,https://movie.mcas.jp/mcas/mx_live_2/master.m3u8
NHK E [Not 24/7],http://redlabmcdn.s.llnwi.net/nv02/ryowa1hd/index.m3u8
NHK G,http://redlabmcdn.s.llnwi.net/nv02/ryowa2hd/index.m3u8#http://redlabmcdn.s.llnwi.net/nv02/ryowa2hd/playlist.m3u8
NHK World Japan,http://nhkwlive-xjp.akamaized.net/hls/live/2003458/nhkwlive-xjp-en/index_1M.m3u8#https://nhkwlive-xjp.akamaized.net/hls/live/2003458/nhkwlive-xjp-en/index_1M.m3u8
NHK world Japan,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index_4M.m3u8
NHK 華語,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index.m3u8
Nippon TV [Not 24/7],https://ntv3.mov3.co/hls/ntv.m3u8
QVC Japan,http://cdn-live1.qvc.jp/iPhone/800/800.m3u8
Shop Channel,http://stream1.shopch.jp/HLS/out1/prog_index.m3u8#http://stream1.shopch.jp/HLS/out2/prog_index.m3u8#http://stream1.shopch.jp/HLS/out3/prog_index.m3u8#http://stream1.shopch.jp/HLS/out4/prog_index.m3u8
Sofy TV,https://sofy-ger-samsung.amagi.tv/playlist.m3u8
TBS [Not 24/7],https://tbs2.mov3.co/hls/tbs.m3u8
Tokyo,http://redlabmcdn.s.llnwi.net/nv02/ryowa6hd/index.m3u8
ウェザーニュース,https://movie.mcas.jp/mcas/wn1_2/master.m3u8
日本職業摔跤(NJPW),https://aka-amd-njpwworld-hls-enlive.akamaized.net/hls/video/njpw_en/njpw_en_channel01_3/playlist_DVR.m3u8
朝日テレビ,http://redlabmcdn.s.llnwi.net/nv02/ryowa4hd/index.m3u8
聲優廣播,http://www.uniqueradio.jp/agplayerf/hls/Active.m3u8
Animax Japan (Indonesian Subs),http://210.210.155.35/dr9445/h/h02/01.m3u8#http://210.210.155.35/dr9445/h/h144/01.m3u8
Animax Japan,http://redlabmcdn.s.llnwi.net/nv02/bs14hd/index.m3u8
Animax,http://redlabmcdn.s.llnwi.net/nv02/bs14hd/playlist.m3u8
BS 12,http://redlabmcdn.s.llnwi.net/nv02/bs08hd/playlist.m3u8
BS Asahi,http://redlabmcdn.s.llnwi.net/nv02/bs04hd/index.m3u8#http://redlabmcdn.s.llnwi.net/nv02/bs04hd/playlist.m3u8
BS Fuji TV,http://redlabmcdn.s.llnwi.net/nv02/bs07hd/index.m3u8#http://redlabmcdn.s.llnwi.net/nv02/bs07hd/playlist.m3u8
BS Nippon TV,http://redlabmcdn.s.llnwi.net/nv02/bs03hd/index.m3u8#http://redlabmcdn.s.llnwi.net/nv02/bs03hd/playlist.m3u8
BS TV Tokyo,http://redlabmcdn.s.llnwi.net/nv02/bs06hd/index.m3u8#http://redlabmcdn.s.llnwi.net/nv02/bs06hd/playlist.m3u8
BS-TBS,http://redlabmcdn.s.llnwi.net/nv02/bs05hd/index.m3u8#http://redlabmcdn.s.llnwi.net/nv02/bs05hd/playlist.m3u8
Disney Channel Japan,http://redlabmcdn.s.llnwi.net/nv02/bs13hd/index.m3u8
J Sports 2,http://redlabmcdn.s.llnwi.net/nv02/bs11hd/playlist.m3u8#http://redlabmcdn.s.llnwi.net/nv02/bs11hd/index.m3u8
Japanet Channel DX,https://bcsecurelivehls-i.akamaihd.net/hls/live/265320/5043843989001/140130JTDX/index.m3u8
Kirin,http://redlabmcdn.s.llnwi.net/nv02/ryowa7hd/playlist.m3u8
MBS,http://redlabmcdn.s.llnwi.net/nv02/ryowa5hd/playlist.m3u8
NHK BS1,http://redlabmcdn.s.llnwi.net/nv02/bs01hd/index.m3u8#http://redlabmcdn.s.llnwi.net/nv02/bs01hd/playlist.m3u8
NHK BSP,http://redlabmcdn.s.llnwi.net/nv02/bs02hd/index.m3u8#http://redlabmcdn.s.llnwi.net/nv02/bs02hd/playlist.m3u8
NHK E,http://redlabmcdn.s.llnwi.net/nv02/ryowa1hd/playlist.m3u8
Nippon TV,http://redlabmcdn.s.llnwi.net/nv02/ryowa3hd/index.m3u8#http://redlabmcdn.s.llnwi.net/nv02/ryowa3hd/playlist.m3u8
Star 1,http://redlabmcdn.s.llnwi.net/nv02/bs09hd/index.m3u8#http://redlabmcdn.s.llnwi.net/nv02/bs09hd/playlist.m3u8
Star 2,http://redlabmcdn.s.llnwi.net/nv02/bs10hd/index.m3u8#http://redlabmcdn.s.llnwi.net/nv02/bs10hd/playlist.m3u8
TBS,http://redlabmcdn.s.llnwi.net/nv02/ryowa4hd/playlist.m3u8#http://redlabmcdn.s.llnwi.net/nv02/ryowa5hd/index.m3u8#http://58.234.158.60:1935/catvlive/myStream/playlist.m3u8#http://mxu03.wanicelife.com:8880/D12m0463/75827883/51841
午夜影院,https://pull.kktv8.com/livekktv/99592190.flv
澳視澳門,http://61.244.22.5/ch1/_definst_/ch1.live/playlist.m3u8#http://61.244.22.5/ch1/ch1.live/index.m3u8#http://61.244.22.5/ch1/ch1.live/master.m3u8#http://61.244.22.5/ch1/ch1.live/playelist.m3u8#http://61.244.22.5/ch1/ch1.live/playlist.m3u8#http://live4.tdm.com.mo/ch1/_definst_//ch1.live/playlist.m3u8
澳門葡文,http://61.244.22.5/ch2/_definst_/ch2.live/playlist.m3u8#http://61.244.22.5/ch2/ch2.live/index.m3u8#http://61.244.22.5/ch2/ch2.live/master.m3u8#http://61.244.22.5/ch2/ch2.live/playelist.m3u8#http://61.244.22.5/ch2/ch2.live/playlist.m3u8#http://live4.tdm.com.mo/ch2/_definst_//ch2.live/playlist.m3u8
澳門Macau,http://61.244.22.5/ch3/_definst_/ch3.live/playlist.m3u8#http://61.244.22.5/ch3/ch3.live/index.m3u8#http://61.244.22.5/ch3/ch3.live/master.m3u8#http://61.244.22.5/ch3/ch3.live/playelist.m3u8#http://61.244.22.5/ch3/ch3.live/playlist.m3u8#http://live4.tdm.com.mo/ch3/_definst_//ch3.live/playlist.m3u8#http://live4.tdm.com.mo/ch3/_definst_/ch3.live/playlist.m3u8
澳門體育,http://61.244.22.5/ch4/_definst_/sport_ch4.live/playlist.m3u8#http://61.244.22.5/ch4/sport_ch4.live/index.m3u8#http://61.244.22.5/ch4/sport_ch4.live/master.m3u8#http://61.244.22.5/ch4/sport_ch4.live/playelist.m3u8#http://61.244.22.5/ch4/sport_ch4.live/playlist.m3u8#http://live4.tdm.com.mo/ch4/_definst_//sport_ch4.live/playlist.m3u8
澳門資訊,http://61.244.22.5/ch5/_definst_/info_ch5.live/playlist.m3u8#http://61.244.22.5/ch5/info_ch5.live/index.m3u8#http://61.244.22.5/ch5/info_ch5.live/master.m3u8#http://61.244.22.5/ch5/info_ch5.liveplayelist.m3u8#http://61.244.22.5/ch5/info_ch5.live/playlist.m3u8#http://live4.tdm.com.mo/ch5/_definst_//info_ch5.live/playlist.m3u8
澳門綜藝,http://61.244.22.5/ch6/_definst_/hd_ch6.live/playlist.m3u8#http://61.244.22.5/ch6/hd_ch6.live/index.m3u8#http://61.244.22.5/ch6/hd_ch6.live/master.m3u8#http://61.244.22.5/ch6/hd_ch6.live/playelist.m3u8#http://61.244.22.5/ch6/hd_ch6.live/playlist.m3u8#http://live4.tdm.com.mo/ch6/_definst_//hd_ch6.live/playlist.m3u8
澳門蓮花(Lotus Macau),http://120.84.96.78:808/hls/24/index.m3u8
民視 HD[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv002.stream/playlist.m3u8
CNEX紀實頻道[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv013.stream/playlist.m3u8
時尚運動[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv014.stream/playlist.m3u8
HakkaTV(客家電視台)[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv043.stream/playlist.m3u8
采昌影劇台[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv049.stream/playlist.m3u8
華視新聞資訊[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv052.stream/playlist.m3u8
GINX Esports[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv053.stream/playlist.m3u8
ELTA娛樂(愛爾達娛樂台)[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv070.stream/playlist.m3u8
TVBS HD[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv073.stream/playlist.m3u8
中視新聞[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv074.stream/playlist.m3u8
Trace Sport-Stars[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv077.stream/playlist.m3u8
Arirang Korea[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv079.stream/playlist.m3u8
Mezzo Live[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv083.stream/playlist.m3u8
智林體育台[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv101.stream/playlist.m3u8
黑莓电竞[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225653/index.m3u8
黑莓动画[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225672/index.m3u8
黑水新闻综合[1920*1080],http://live.schstv.com:90/live/xwzh.m3u8
菏泽经济生活[1280*720],http://live.hznet.tv:1935/live/live2/500K/tzwj_video.m3u8#http://zb.hezegd.com:1935/live/hztv2/1000k/tzwj_video.m3u8
菏泽新闻综合[1280*720],http://zb.hezegd.com:1935/live/hztv1/1000k/tzwj_video.m3u8
菏泽影视频道[1280*720],http://live.hznet.tv:1935/live/live3/500K/tzwj_video.m3u8
華視新聞資訊台,http://154.216.191.59/2023114080880.php?id=36
東森新聞HD,http://154.216.191.59/2023114080880.php?id=38
民視新聞,http://154.216.191.59/2023114080880.php?id=40
三立新聞HD,http://154.216.191.59/2023114080880.php?id=41
TVBS新聞HD,http://154.216.191.59/2023114080880.php?id=42
寰宇新聞,http://154.216.191.59/2023114080880.php?id=47
⁠HBO HD,http://pull-l3-cny.douyincdn.com/live/b2478a833f3e8b439b680048fcbf7786.m3u8
HBO家庭影院,http://pull-l3-cny.douyincdn.com/live/1279e1fd458348b32fd60381b1017c09.m3u8
HBO原创电影,http://pull-l3-cny.douyincdn.com/live/9bfb4b08fec367ed3850357a853250d5.m3u8
探索频道HD,http://pull-l3-cny.douyincdn.com/live/34633761735b6c677356a7c551f89888.m3u8
动物星球HD,http://pull-l3-cny.douyincdn.com/live/eac374df3c06e8985d587224a056f483.m3u8
卫视中文HD,http://pull-l3-cny.douyincdn.com/live/41f29bf461ffa99e595f70b9593c61aa.m3u8
探索动力HD,http://pull-l3-cny.douyincdn.com/live/ea6907626f7d64aa61e5ebf88180e43d.m3u8
